Headlines,Descriptions,Authors,Published_Dates,Articles,Keywords,Summaries
Readers Respond,Here are some comments that came in response to Tuesday's The Daily Star news report headlined “A welcome divorce”. HasanWe salute Farzana. I request The Daily Star and other media houses to start a social campaign against dowry. Md Arifur RahmanShe would become the icon of thousands of women. Every man and woman should take a strong-stand against dowry to rid society of this curse. M I Arif,,2011-11-16T00:00:00+06:00,"Here are some comments that came in response to Tuesday's The Daily Star news report headlined “A welcome divorce”.

Hasan

We salute Farzana. I request The Daily Star and other media houses to start a social campaign against dowry.

Md Arifur Rahman

She would become the icon of thousands of women. Every man and woman should take a strong-stand against dowry to rid society of this curse.

M I Arif

It is a lesson for us towards removing dowry from our society. May your voice become the voice of all women and raise the level of awareness of men, too..

Muktadir S Hossain

This is just the beginning. This is a warning for all those beggars who look for dowry. Congrats Farzana. We all are with you.

Md. Mafizul Islam

Farzana, you have made a lot of change. You are the path finder. I believe we will find many more Farzanas in the future, who will teach a good lesson to the greedy as well as find a society free from the curse of dowry.

Younus Ali

I have a daughter. So I have also some tension in my mind. I will be in need of a lot of money during her wedding as dowry, although I hate this custom. In my case, I didn't take any money as dowry when I married. Now I have learnt something. I believe my daughter will also protest against dowry like Farzana.

Anonymous

Good job Farzana, I admire your courage and conviction. May Almighty Allah be on your side and hopefully you will find a real man soon. Hopefully, other women will learn from you too.

Nasirullah Mridha

I read in other national daily that Farzana's husband and his aunt are headmasters at primary schools. Can I expect that the government would arrange severe punishment for the two teachers who forced Farzana's family to give the dowry?

Shamima Begum Shelley

I hope all the girls and their families & relatives will learn from this extraordinary event. We congratulate her for opening our eyes.

T. Husain

I salute Farzana for her courage and self-esteem. She should be the icon and role-model of womanhood in any decent society.

Upfront

What an inspiring and at the same time a tragic story! I think the responsibility now lies with society to help Farzana out of this ordeal and assist her in all ways to get the divorce immediately and create the opportunity to get married to a person who is according to choice, age and standards. Any follow up story would be appreciated. We wish a happy and peaceful life for Farzana.

Zaman

A very inspiring move by the young lady. The demand for dowry made by the husband's aunt proves that the so-called women-friendly laws aren't working. We need to change the attitude of dowry-seeking women and in this way end this evil practice. Imams can also help by letting people know that dowry is not allowed in Islam. In fact, Islam obligates the husband to pay a pre-arranged amount for the wife. This better system should be encouraged.

Didarul Alam

We appreciating this bold decision from a conscious & educated woman. The term dowry has become a cancer. It is a curse of our society. Not only women but men also should come forward to eliminate this curse from society. In our country, the rich people give a lot of valuable things to their daughter's bridegroom in the name of gift which encourages the practice of dowry among the immoral & greedy people. We must raise our voice against it and take lesson from Farzana's bold protest against it.","['respond', 'lesson', 'daily', 'farzana', 'lot', 'readers', 'farzanas', 'women', 'society', 'voice', 'curse', 'dowry']","Every man and woman should take a strong-stand against dowry to rid society of this curse.
May your voice become the voice of all women and raise the level of awareness of men, too..Muktadir S HossainThis is just the beginning.
Nasirullah MridhaI read in other national daily that Farzana's husband and his aunt are headmasters at primary schools.
Not only women but men also should come forward to eliminate this curse from society.
We must raise our voice against it and take lesson from Farzana's bold protest against it."
WikiLeaks tells journos 140 things not to say about Assange,"WikiLeaks on Sunday advised journalists not to report 140 different ""false and defamatory"" statements about its founder Julian Assange, who has been holed up in the Ecuadorean embassy in London since June 2012.",,2019-01-08T00:00:00+06:00,"WikiLeaks on Sunday advised journalists not to report 140 different ""false and defamatory"" statements about its founder Julian Assange, who has been holed up in the Ecuadorean embassy in London since June 2012.

It was not immediately clear what prompted the advice to media organisations, but WikiLeaks singled out Britain's Guardian newspaper for publishing what it said was a false report about Assange. The Guardian did not immediately respond late on Sunday to a Reuters request for comment.

The Australian set up WikiLeaks as a channel for publishing confidential information from anonymous sources. He is a hero to some for exposing what supporters cast as government abuse of power and for championing free speech, but to others he is a rebel who has undermined the security of the United States.","['immediately', 'united', 'publishing', 'tells', 'supporters', 'journos', 'assange', 'guardian', 'false', 'report', 'wikileaks', 'say', 'things', '140', 'undermined']","WikiLeaks on Sunday advised journalists not to report 140 different ""false and defamatory"" statements about its founder Julian Assange, who has been holed up in the Ecuadorean embassy in London since June 2012.
It was not immediately clear what prompted the advice to media organisations, but WikiLeaks singled out Britain's Guardian newspaper for publishing what it said was a false report about Assange.
The Guardian did not immediately respond late on Sunday to a Reuters request for comment.
The Australian set up WikiLeaks as a channel for publishing confidential information from anonymous sources.
He is a hero to some for exposing what supporters cast as government abuse of power and for championing free speech, but to others he is a rebel who has undermined the security of the United States."
Release them before Eid,"Retired army officer Shafiqul Islam knocked on every possible door in the last one and a half months, hoping someone would help his son Tariqul Islam get bail.",,2018-08-18T00:00:00+06:00,"Retired army officer Shafiqul Islam knocked on every possible door in the last one and a half months, hoping someone would help his son Tariqul Islam get bail.

He appointed a lawyer after his son, a law student of Dhaka University, was arrested on July 3 during the quota reform demonstrations.

The 60-year-old has been travelling from home in Comilla to the capital hoping to be able to do something. But Tariqul, also a member of Chhatra League in DU, was denied bail twice.

The grieving father attended a human chain formed by the families of students detained during the quota reform and road safety demonstrations in front of Jatiya Press Club.

They demanded release of the students before the coming Eid and urged the prime minister to intervene. Rights activists and civil society members also attended the programme.

Shafiqul's son was arrested in a case filed over vandalism at the VC's residence on DU campus.

Shafiqul added that he too was a member of the Awami League in Comilla.

“I don't know where I should go.... None of the ruling party men I have contacted helped me,” he said, adding he had also contacted the DU authorities to no avail.

Saleha Begum, mother of arrested quota reform leader Muhammad Rashed Khan, said, “Please release my son before Eid. Let me celebrate the Eid with him.”

Since Rashed was arrested on July 1, she has been travelling from Jhenidah to Dhaka to join public events and demand his release.

Saleha said her son was never against the government.

Rights activist Nur Khan said “arbitrary” detention and arrest of students caused widespread fear. “The nation needs to be free from the fear.”

Eastern University teacher Rezaur Rahman Lenin said around 200 students were picked up and nearly 100 cases filed during the two widespread demonstrations.

Saiful Azam, a final year student of the University of Asia Pacific, said he and several other students of the university were attacked on August 5 while demonstrating on Green Road for road safety.

But instead of finding out the attackers, police picked up some of the students that evening and released them later.

Nur Khan, who helped organising the human chain, said some families of the arrestees did not attend the programme fearing reprisal.

Nagorik Oikya Convener Mahmudur Rahman Manna said no political slogan was chanted during the road safety demonstrations.

“Yet, the government was afraid of their agitation,” he said.

He also pointed out that those who attacked the students and journalists during the demonstrations remained untouched.

Gonoshasthaya Kendra founder Zafrullah Chowdhury said students being tied with ropes was not the sign of a civilised society.

“Attempts are on to keep people mum,” he said.","['du', 'release', 'khan', 'road', 'son', 'university', 'quota', 'students', 'arrested', 'eid', 'reform']","He appointed a lawyer after his son, a law student of Dhaka University, was arrested on July 3 during the quota reform demonstrations.
The grieving father attended a human chain formed by the families of students detained during the quota reform and road safety demonstrations in front of Jatiya Press Club.
They demanded release of the students before the coming Eid and urged the prime minister to intervene.
Saleha Begum, mother of arrested quota reform leader Muhammad Rashed Khan, said, “Please release my son before Eid.
Let me celebrate the Eid with him.”Since Rashed was arrested on July 1, she has been travelling from Jhenidah to Dhaka to join public events and demand his release."
"""Ashchorjo Shundor Ei Bechey Thaka"" and ""Durghotona"" staged","A scene from the play ""Durghotona”. Photo: Mumit M.",,2011-03-11T00:00:00+06:00,"The ongoing fortnight-long theatre festival by the Department of Theatre, Dhaka University featured two plays on March 9. The plays -- ""Ashchorjo Shundor Ei Bechey Thaka"" and ""Durghotona"" -- were staged at Natmandal Auditorium of DU.

Tanvir Rashid directed ""Ashchorjo Shundor Ei Bechey Thaka"".

The play is an optimistic approach to those who find themselves unnecessary to the society. The play tries to convey the message: every moment alive is special.

Mahfuzur Rahman, Atiqur Rahman, Shushanto Sarkar and Camellia Moushumi Khan enacted the roles in the play. Camellia also did the set, light and costume designing.

The second play of the evening was ""Durghotona"". Written by Sudipta Bhoumik, the play was directed by Bhudev Chandra Mandal.

""Durghotona"" is psychological drama. It highlights two characters. One of them is a Bangladeshi, who went to the US in search of a better life. The other character's identity remains in the shadows. Throughout the play, the Bangladeshi describes his days from the past to the stranger who seems uninterested to listen.

Until the last sequence, the Bangladeshi's narratives seem incoherent but the twist comes when it is revealed that the character has been dead all along.

Tauquir Ahmed and Syed Muhammad Zubayeer donned the roles of the Bangladeshi and the anonymous character respectively.

Tanvir Nahid Khan designed the set. Khan along with Bithika Yasmin did the light designing.

Today, two plays -- ""Harry Darnier"" and ""Best Practice""-- will be staged at the festival starting from 6:30pm.","['theatre', 'durghotona', 'khan', 'plays', 'roles', 'ei', 'ashchorjo', 'shundor', 'thaka', 'set', 'play', 'bangladeshi', 'rahman', 'staged', 'bechey']","The plays -- ""Ashchorjo Shundor Ei Bechey Thaka"" and ""Durghotona"" -- were staged at Natmandal Auditorium of DU.
Tanvir Rashid directed ""Ashchorjo Shundor Ei Bechey Thaka"".
Mahfuzur Rahman, Atiqur Rahman, Shushanto Sarkar and Camellia Moushumi Khan enacted the roles in the play.
Throughout the play, the Bangladeshi describes his days from the past to the stranger who seems uninterested to listen.
Today, two plays -- ""Harry Darnier"" and ""Best Practice""-- will be staged at the festival starting from 6:30pm."
Outsider engaged to scrutinise documents!,"The education ministry yesterday formed a committee to investigate enrolment of 56 fake headmasters for a government-run training programme at Secondary Teachers Training Institute in Rajshahi, five days after disclosure of the incident. The one-member committee chief Prof Taslima Begum, director (Training) of the Directorate of Secondary and Higher Education (DSHE), has already started her investigation.",,2010-05-31T00:00:00+06:00,"The education ministry yesterday formed a committee to investigate enrolment of 56 fake headmasters for a government-run training programme at Secondary Teachers Training Institute in Rajshahi, five days after disclosure of the incident.

The one-member committee chief Prof Taslima Begum, director (Training) of the Directorate of Secondary and Higher Education (DSHE), has already started her investigation.

""The investigation so far reveals that Abdul Hannan, one of the alleged persons, usually serves as a peon at the institute although he is not an employee there. But he was engaged in scrutinising the papers of the training participants. The officials concerned need to answer why and how he was given the charge,” said Prof Taslima, who was seen taking written statements of the officials and employees and examining pieces of evidence at the institute yesterday noon.

Hannan earlier worked in a project that ended in 1999.

""Two other employees Jahangir Hossain and Shafik Ahmed were also not supposed to be engaged in the scrutiny. Even if they were given the task, the officials concerned failed in their duty to properly supervise and guide so that the scrutiny is done properly,” the probe team chief said.

Following an anonymous telephone call on May 26, the institute authorities found that a staggering 56 of 84 participants in the May 22-27 teaching quality improvement (TQI) training programme were fake.

Students, small traders, non-teaching service-holders, even nearly illiterate people were enrolled for the six-day training programme meant for headmasters.

The 56 people were listed as 'headmasters' of non-existent schools apparently to embezzle a portion of the money allocated for the training under a project funded by Asian Development Bank and Canadian Development Agency (Cida).

Institute Director Dr Swapan Kumar Dutta supervised the training while Additional Director Dr Shelina Afroze and assistant directors M Shamsuzzoha and Sirajum Munira coordinated the programme.

Earlier a three-member probe committee headed by Rajshahi New Government College teacher Shamsul Kalam Azad was formed to probe the irregularity in the training programme but the investigation faced difficulties after a certain stage as the institute director is senior to the probe body chief in government service rank.","['director', 'training', 'institute', '56', 'officials', 'committee', 'chief', 'scrutinise', 'probe', 'yesterday', 'programme', 'engaged', 'documents', 'outsider']","The education ministry yesterday formed a committee to investigate enrolment of 56 fake headmasters for a government-run training programme at Secondary Teachers Training Institute in Rajshahi, five days after disclosure of the incident.
The one-member committee chief Prof Taslima Begum, director (Training) of the Directorate of Secondary and Higher Education (DSHE), has already started her investigation.
""Two other employees Jahangir Hossain and Shafik Ahmed were also not supposed to be engaged in the scrutiny.
Students, small traders, non-teaching service-holders, even nearly illiterate people were enrolled for the six-day training programme meant for headmasters.
Institute Director Dr Swapan Kumar Dutta supervised the training while Additional Director Dr Shelina Afroze and assistant directors M Shamsuzzoha and Sirajum Munira coordinated the programme."
Charges pressed against 60 Bogra BNP-Jamaat men,Police have press charges against 60 activists of BNP and Jamaat-e-Islami in Bogra over torching of an office of Awami League in Dupchanchia during violence last year.,,2016-03-16T12:25:52+06:00,"Police have pressed charges against 60 activists of BNP and Jamaat-e-Islami in Bogra over torching of an office of Awami League in Dupchanchia during violence last year.

An Upazila unit leader of Dupchanchia, Abu Sayeed Fakir, sued 27 named and upto 150 anonymous BNP and Jamaat men on February 24, 2015, our local correspondent reports.

The charge sheet named Dupchanchia upazila parishad Chairman and Jamaat leader Abdul Gani Mondal, BNP leaders Mottalleb Hossain Mintu, Moazzem Hossain, upazila unit BNP president Abdul Hamid and its acting secretary Abu Naser, upazila unit Jamaat ameer Monsur Ali and its secretary Motiur Rahman as accused.

Sub-inspector (SI) of Dupchanchia police station Zahid Hossian placed the charged sheet before the court of judicial magistrate court last Thursday.

Bogra police Superintendent Gaziur Rahman said the charge sheet brought charges on special power and explosive acts. Most of the accused were arrested and many of them are now on bail

Police have been conducting drives to arrest the charge sheeted accused on the run.","['bogra', 'dupchanchia', 'pressed', 'bnp', 'sheet', 'charge', 'men', 'named', 'unit', 'upazila', 'secretary', '60', 'jamaat', 'rahman', 'bnpjamaat', 'charges']","Police have pressed charges against 60 activists of BNP and Jamaat-e-Islami in Bogra over torching of an office of Awami League in Dupchanchia during violence last year.
An Upazila unit leader of Dupchanchia, Abu Sayeed Fakir, sued 27 named and upto 150 anonymous BNP and Jamaat men on February 24, 2015, our local correspondent reports.
Sub-inspector (SI) of Dupchanchia police station Zahid Hossian placed the charged sheet before the court of judicial magistrate court last Thursday.
Bogra police Superintendent Gaziur Rahman said the charge sheet brought charges on special power and explosive acts.
Most of the accused were arrested and many of them are now on bailPolice have been conducting drives to arrest the charge sheeted accused on the run."
Jose lashes out at Scholes,Jose Mourinho has lambasted former Manchester United midfielder Paul Scholes after he criticised the manager and key players in his,,2018-01-03T00:00:00+06:00,"Jose Mourinho has lambasted former Manchester United midfielder Paul Scholes after he criticised the manager and key players in his role as a TV pundit.

Scholes singled out Paul Pogba, the club's record signing, after his anonymous performance in the weekend draw with Southampton.

But the French international was far more impressive in the 2-0 victory at Everton on New Year's Day, which ended a run of three consecutive United draws and put the Red Devils 12 points behind runaway leaders Manchester City.

The victory allowed Mourinho to launch a remarkable verbal attack on Scholes, one of the storied ""Class of 92"" who was a key part of some of the greatest successes in United's history.

""I think the only thing Paul Scholes does is criticise,"" said Mourinho. ""I don't think he comments, I think he criticises, which is a different thing.

""Not every one of us has to be phenomenal like he was as a player. That does not mean that we all have to be phenomenal.""

Scholes accused Pogba of coasting through games and failing to make the sort of impact his £89 million ($120 million) transfer fee demands.

But Mourinho was clearly in the mood to defend his player and claimed that part of Scholes' attitude was fuelled by jealousy.

""Paul tries to do his best all the time,"" he said. ""Sometimes he plays very well, sometimes he plays well, sometimes he doesn't play so well.

""It's not Paul's fault that he made much more money than Paul Scholes. It's just the way football is.

""I think Scholes will be in history as a phenomenal player, not as a pundit. I prefer to look at him as a phenomenal player that gave so much to the club that I am proud to represent.""

The United manager, who won at Goodison thanks to superb goals from Anthony Martial and Jesse Lingard, both of which were set up by Pogba, also believes that Scholes has a desire to break into management.

The former United player recently claimed that his application for a job managing United's under-23 team was turned down by the club's management.

""If Paul one day decides to be a manager I wish that he can be 25 percent as successful as myself,"" said Mourinho.","['mourinho', 'pogba', 'manager', 'united', 'lashes', 'think', 'paul', 'jose', 'scholes', 'victory', 'phenomenal', 'player']","Jose Mourinho has lambasted former Manchester United midfielder Paul Scholes after he criticised the manager and key players in his role as a TV pundit.
Scholes singled out Paul Pogba, the club's record signing, after his anonymous performance in the weekend draw with Southampton.
""I think the only thing Paul Scholes does is criticise,"" said Mourinho.
""It's not Paul's fault that he made much more money than Paul Scholes.
""I think Scholes will be in history as a phenomenal player, not as a pundit."
"Einstein letter fetches $100,000 at auction","A letter penned by legendary physicist Albert Einstein discussing one of his groundbreaking theories sells in Jerusalem for over $100,000 as part of trove of documents that went under the hammer.",,2018-03-07T20:37:56+06:00,"A letter penned by legendary physicist Albert Einstein discussing one of his groundbreaking theories sold in Jerusalem Tuesday for over $100,000 as part of trove of documents that went under the hammer.

The handwritten missive, sent in 1928 by Einstein from Berlin to a mathematician about the formalisation of the ""Third Stage of the Theory of Relativity"", was snapped up by an anonymous buyer for $103,700 (83,600 euros).

The letter was written during one of the ""most exciting, feverish periods of Einstein's scientific career"" as he worked to hammer out one of the major scientific breakthroughs of the last century, auction house Winner's said.

It included a second note jotted by Einstein on the back of the envelope refining his thinking.

The sum -- while large -- pales in comparison to the $1.56 million that one purchaser paid for a letter from Einstein on the secret of happiness at a Jerusalem auction in October after it was initially valued at some $8,000.

Among Tuesday's other lots were letters and photographs relating to the winner of the 1921 Nobel Prize in physics that also sold for several thousand dollars.

Winner's boss Gal Wiener told AFP that the trove ""reveals the complex character of the great scientist"".

German-born Einstein served as a non-resident governor of Jerusalem's Hebrew University up to his death.","['winners', 'trove', 'letter', 'scientific', 'worked', 'einstein', 'written', '100000', 'fetches', 'jerusalem', 'sold', 'auction']","A letter penned by legendary physicist Albert Einstein discussing one of his groundbreaking theories sold in Jerusalem Tuesday for over $100,000 as part of trove of documents that went under the hammer.
The letter was written during one of the ""most exciting, feverish periods of Einstein's scientific career"" as he worked to hammer out one of the major scientific breakthroughs of the last century, auction house Winner's said.
It included a second note jotted by Einstein on the back of the envelope refining his thinking.
The sum -- while large -- pales in comparison to the $1.56 million that one purchaser paid for a letter from Einstein on the secret of happiness at a Jerusalem auction in October after it was initially valued at some $8,000.
German-born Einstein served as a non-resident governor of Jerusalem's Hebrew University up to his death."
Indian intelligence warns of aircraft hijack,"File photo of an Air India flight. Indian intelligence agencies warned today that an Air India flight between Delhi and Kabul might be hijacked by terrorists, local media reports.",,2015-01-04T00:00:00+06:00,"File photo of an Air India flight.

Indian intelligence agencies warned today that an Air India flight between Delhi and Kabul might be hijacked by terrorists, local media reports.

A high alert raised and security at the Indira Gandhi International Airport enhanced further, The Times of India said adding authorities have put in place multi-level checking and issued instructions to ensure they are followed judiciously.

Security has been tightened at airports across the country after the alert following the intelligence inputs, NDTV said.

An anonymous telephone call threatening that an Air India plane would be hijacked was made to the Kolkata office of the state-owned carrier on Saturday evening, PTI news agency said late on Saturday night quoting the police.

A senior Kolkata police official said it was a brief call in Bengali threatening that an Air India flight would be hijacked. The official, however, did not specify which flight would be targeted.","['kolkata', 'warned', 'hijacked', 'indian', 'hijack', 'warns', 'intelligence', 'alert', 'threatening', 'aircraft', 'india', 'air', 'flight', 'official']","File photo of an Air India flight.
Indian intelligence agencies warned today that an Air India flight between Delhi and Kabul might be hijacked by terrorists, local media reports.
Security has been tightened at airports across the country after the alert following the intelligence inputs, NDTV said.
A senior Kolkata police official said it was a brief call in Bengali threatening that an Air India flight would be hijacked.
The official, however, did not specify which flight would be targeted."
ZTE woes loom as US-China trade tensions rise,"With a major Chinese smartphone maker on the rocks following US sanctions, the trade spat between Washington and Beijing appears to be taking a turn for the worse for tech firms in the two global economic powerhouses.",,2018-05-14T00:00:00+06:00,"With a major Chinese smartphone maker on the rocks following US sanctions, the trade spat between Washington and Beijing appears to be taking a turn for the worse for tech firms in the two global economic powerhouses.

Chinese telecom giant ZTE said in the past week its major operations had ""ceased"" following last month's US ban on American sales of critical technology to the company, raising the possibility of its collapse.

ZTE depended on American chips and other components, and is unable to continue operating without key supplies.

US officials imposed the ban last month, saying ZTE failed to abide by an agreement to stop selling to Iran and North Korea.

While the ZTE case has a specific legal basis, the ban comes as US-China trade relations have hit a rough patch, amid an intense rivalry for supremacy in key technology fields such as artificial intelligence and 5G, the next-generation wireless systems in the works.

The US administration has barred military and government employees from using smartphones from ZTE and fellow Chinese maker Huawei.

President Donald Trump earlier this year blocked a deal that would have allowed a Singapore-based firm to acquire US chipmaker Qualcomm, claiming it would enable Huawei to set the pace the global rollout of 5G technology.

The trade troubles threaten a technology sector that is increasingly intertwined with major players in the United States and China.

""It's going to disrupt procurement, supply lines, it will affect a lot of companies in various ways,"" said one technology industry executive who asked to remain anonymous.

""Nobody's panicking yet but people are nervous and watching.""

James Lewis, a technology specialist with the Centre for Strategic and International Studies, said the tensions are likely to prompt China to step up efforts to disconnect from the US tech sector.

""The biggest impact will be to accelerate China's desire to have non-American sources of supply,"" Lewis said.

""They don't want to be held hostage"" to US tech firms.

Lewis said the technology trade tensions stem from genuine concerns in Washington that critical 5G and related telecom technologies will be dominated by China-based Huawei.

“Huawei is trying to become the telecom company for the world,"" Lewis said.","['ban', 'lewis', 'tensions', 'trade', 'zte', 'major', 'loom', '5g', 'washington', 'rise', 'uschina', 'technology', 'telecom', 'tech', 'woes']","ZTE depended on American chips and other components, and is unable to continue operating without key supplies.
US officials imposed the ban last month, saying ZTE failed to abide by an agreement to stop selling to Iran and North Korea.
The US administration has barred military and government employees from using smartphones from ZTE and fellow Chinese maker Huawei.
The trade troubles threaten a technology sector that is increasingly intertwined with major players in the United States and China.
Lewis said the technology trade tensions stem from genuine concerns in Washington that critical 5G and related telecom technologies will be dominated by China-based Huawei."
Trump seeks to quash Tillerson sacking rumour,President Donald Trump on Friday tried to shut down reports that he is on the verge of sacking or forcing out his,,2017-12-04T00:00:00+06:00,"President Donald Trump on Friday tried to shut down reports that he is on the verge of sacking or forcing out his chief diplomat, Secretary of State Rex Tillerson.

Trump took to Twitter to brand reports of Tillerson's imminent replacement ""FAKE NEWS!"" -- although the US leader's admission that he has had to overrule his top diplomat on policy will only fuel the rumours.

Tillerson is due to embark on a major European trip today, despite anonymous White House leaks suggesting that he is to be replaced, perhaps within weeks, by a Trump loyalist.

""He's not leaving and while we disagree on certain subjects, (I call the final shots), we work well together and America is highly respected again!"" Trump declared.

The relationship between Trump and Tillerson has been dogged for months by reports of a rift.

On Thursday, these came to a head when several US media outlets -- citing White House sources -- predicted Tillerson's resignation and replacement by CIA chief Mike Pompeo.

Asked by reporters at a State Department photo call whether leaks from the White House were designed to force him out, Tillerson said: ""It's laughable. It's laughable.""

The White House at first did little to downplay the reports, while a State Department spokeswoman insisted Tillerson's position was safe, and the story drifted into a second day.

But later on Friday, Tillerson met Trump at the White House for a lunch with Defense Secretary Jim Mattis -- an ally of Tillerson's in Washington's bureaucratic wars.","['tillerson', 'replacement', 'white', 'quash', 'state', 'house', 'sacking', 'seeks', 'leaks', 'reports', 'trump', 'secretary', 'rumour', 'tillersons']","President Donald Trump on Friday tried to shut down reports that he is on the verge of sacking or forcing out his chief diplomat, Secretary of State Rex Tillerson.
Trump took to Twitter to brand reports of Tillerson's imminent replacement ""FAKE NEWS!""
Tillerson is due to embark on a major European trip today, despite anonymous White House leaks suggesting that he is to be replaced, perhaps within weeks, by a Trump loyalist.
The relationship between Trump and Tillerson has been dogged for months by reports of a rift.
But later on Friday, Tillerson met Trump at the White House for a lunch with Defense Secretary Jim Mattis -- an ally of Tillerson's in Washington's bureaucratic wars."
"RU teacher killing: Unknown people sued, ‘IS claims responsibility’","Police say they have found similarities between the murder of RU teacher Rezaul Karim Siddiquee and the killings of blogger and secular activists, pointing to the use of sharp weapons to cause heavy damage from rear. Slain professor's son sues anonymous people for the murder, which, US-based SITE Intelligence Group says, was claimed by militant group Islamic State.",,2016-04-23T12:53:25+06:00,"Hours into the killings of Rajshahi University teacher AFM Rezaul Karim Siddiquee, militant group Islamic State claimed the responsibility of attack, according to US-based SITE Intelligence Group.

- ‘Peaceful man, no enemies,’ say colleagues

- Witness says two people on a motorcycle were at spot

- SITE Intelligence Group claims that IS claimed responsibility for the killing

Riyasat Imtiaz Sourav, son of the slain English Department professor, meanwhile filed a murder case against anonymous people for the attack, which, police said, has similarities with the style of murder of blogger and secular activists in the past.

“#ISIS' 'Amaq Agency reported the group's responsibility for killing Rajshahi Univ. prof Rezaul Karim for ""calling to atheism"" in #Bangladesh,” SITE Intel Group tweeted at 4:49pm.

#ISIS' 'Amaq Agency reported the group's responsibility for killing Rajshahi Univ. prof Rezaul Karim for ""calling to atheism"" in #Bangladesh — SITE Intel Group (@siteintelgroup) April 23, 2016

The Daily Star could not independently verify the claim.

At-Tamkin, which runs propaganda for IS and has a Bangla website, said that 'soldiers of dawlatul Islam' assassinated the Rajshahi University teacher “for calling to atheism in the city of Rajshahi in Bangladesh”.

#AmaqAgency: IS fighters assassinate a university teacher for calling to atheism in Bangladesh pic.twitter.com/BwP3bjFtA0 — أبو سلمان (@MaghrebiWS1) April 23, 2016

English department teacher Prof AFM Rezaul Karim Siddiquee was attacked from the rear while he was waiting for the university bus this morning. He died on the spot.

He was found lying on his face with deep gashes on his neck, Commissioner Shamsuddin said. “It appears that the killers were trained and experienced.”

Rajshahi Metropolitan Police (RMP) Commissioner Md Shamsuddin told our local correspondent that the manner of murder – the use of sharp weapons – was similar to the case of blogger killings.

A witness told The Daily Star requesting anonymity that she saw two people leaving on a motorcycle from the spot. “He was lying face down in a pool of blood.”

His colleagues did not have a clue as to the motive of the murder. A teacher of English department, Prof Shahidullah, said: “He was a peace-loving person. There’s no chance he had any enemy.”

Later in the day, the slain professor’s son Sourav filed a murder case with Boalia Police Station against anonymous people.

Shahadat Hossain, the officer-in-charge of the police station, confirmed it to The Daily Star this evening.

Meanwhile, Rajshahi University students demonstrated at campus, bringing out processions and blocking a major city road for some time, protesting the murder.

The northern division has been plagued by a series of untoward incidents for the past seven months that relate to militancy that resulted in death of at least two people including a foreigner.

Responsibility of all of the attacks, bomb blasts and killings have been claimed by militants.

The string of incidents started with killing of Japanese national Kunio Hoshi in Rangpur in October last year and carried on with bomb blasts in two Hindu temples in Dinajpur.

Then, there were incidents of shooting of an Italian priest, killing of a Hindu priest and bomb blast on a Shia mosque in Bogra that killed one person.","['murder', 'prof', 'teacher', 'claims', 'site', 'killing', 'rezaul', 'ru', 'university', 'unknown', 'rajshahi', 'responsibility', 'sued', 'group']","Hours into the killings of Rajshahi University teacher AFM Rezaul Karim Siddiquee, militant group Islamic State claimed the responsibility of attack, according to US-based SITE Intelligence Group.
“#ISIS' 'Amaq Agency reported the group's responsibility for killing Rajshahi Univ.
prof Rezaul Karim for ""calling to atheism"" in #Bangladesh,” SITE Intel Group tweeted at 4:49pm.
#ISIS' 'Amaq Agency reported the group's responsibility for killing Rajshahi Univ.
At-Tamkin, which runs propaganda for IS and has a Bangla website, said that 'soldiers of dawlatul Islam' assassinated the Rajshahi University teacher “for calling to atheism in the city of Rajshahi in Bangladesh”."
‘Ex-Shibir man’ held over SP’s wife killing,Police claim that they detained a former activist of Islami Chhatra Shibir for his alleged link with the murder of the wife of Superintendent of Police Babul Akter in Chittagong.,,2016-06-08T12:34:50+06:00,"Police today claimed to have detained a former activist of Islami Chhatra Shibir for his alleged link with the murder of the wife of Superintendent of Police Babul Akter in Chittagong.

Abu Nasr Bunnu, aged about 40, was detained from Farhadabad area in Hathazari upazila in the morning, our Chittagong correspondent reports quoting Devdas Bhattacharya, additional commissioner (crime and operation) of Chittagong Metropolitan Police.

READ MORE: Militants seem to have settled a score

Akter’s wife Mahmuda Akter Mitu was stabbed and shot dead by bike-riding assailants in the port city of Chittagong on Sunday.

Nasr, who works at a majar in the upazila, is a charge-sheeted accused of a murder case, the police official said at a press briefing at CMP headquarters.

Police will produce Nasr before a court seeking remand for him in the day.

ALSO READ: Wife of police super shot dead in Ctg

On Sunday, three attackers first hacked and then shot Mitu, 30, to death before her six-year-old son at GEC intersection in the port city.

On the following day, SP Babul filed a case against three anonymous people with Panchlaish Police Station in Chittagong.","['murder', 'killing', 'man', 'mitu', 'dead', 'nasr', 'port', 'shot', 'chittagong', 'upazila', 'held', 'exshibir', 'wife', 'sps', 'detained']","Police today claimed to have detained a former activist of Islami Chhatra Shibir for his alleged link with the murder of the wife of Superintendent of Police Babul Akter in Chittagong.
READ MORE: Militants seem to have settled a scoreAkter’s wife Mahmuda Akter Mitu was stabbed and shot dead by bike-riding assailants in the port city of Chittagong on Sunday.
Police will produce Nasr before a court seeking remand for him in the day.
ALSO READ: Wife of police super shot dead in CtgOn Sunday, three attackers first hacked and then shot Mitu, 30, to death before her six-year-old son at GEC intersection in the port city.
On the following day, SP Babul filed a case against three anonymous people with Panchlaish Police Station in Chittagong."
